Year,Make,Model,Display Name,Type,Wh Per Mile,Battery (kWh),Fuel Type 1,Fuel 1 Range (miles),Fuel Type 2,Fuel 2 Range (miles),Charger A Desc,"Hours to Charge (240V, Charger A)",Charger B Desc,"Hours to Charge (240V, Charger B)",Doe Id
2023,MINI,Cooper SE Hardtop 2 door,,EV,307,35,Electricity,114,,,,4,,0,45330
2024,MINI,Cooper SE Hardtop 2 door,,,,32,,,,,,,,,
2008,MINI,MiniE,,EV,340,34,Electricity,100,,,,0,,0,30978
2012,Mitsubishi,i-MiEV,,EV,300,19,Electricity,62,,,,7,,0,31673
2013,Mitsubishi,i-MiEV,,EV,300,19,Electricity,62,,,,7,,0,33358
2014,Mitsubishi,i-MiEV,,EV,300,19,Electricity,62,,,,7,,0,34901
2016,Mitsubishi,i-MiEV,,EV,300,19,Electricity,62,,,,7,,0,36023
2017,Mitsubishi,i-MiEV,,EV,300,18,Electricity,59,,,,7,,0,37293
2018,Mitsubishi,Outlander PHEV,,Plug-in Hybrid,450,10,Regular Gasoline,0,Electricity,22,,3.5,,0,39830
2019,Mitsubishi,Outlander PHEV,,Plug-in Hybrid,450,10,Regular Gasoline,0,Electricity,22,,3.5,,0,41133
2020,Mitsubishi,Outlander PHEV,,Plug-in Hybrid,450,10,Regular Gasoline,0,Electricity,22,,3.5,,0,42110
2021,Mitsubishi,Outlander PHEV,,Plug-in Hybrid,450,11,Regular Gasoline,0,Electricity,24,,4,,0,43726
2022,Mitsubishi,Outlander PHEV,,Plug-in Hybrid,450,11,Regular Gasoline,0,Electricity,24,,4,,0,44460
2024,Mitsubishi,Outlander PHEV,,,,19,,,,,,,,,
2000,Nissan,Altra EV,,EV,400,36,Electricity,90,,,,0,,0,16423
2024,Nissan,ARIYA ENGAGE FWD 63kWh,,,,65.8,,,,,,,,,
2024,Nissan,ARIYA EVOLVE+/EMPOWER+ FWD 87kWh,,,,90.8,,,,,,,,,
2001,Nissan,Hyper-Mini,,EV,450,15,Electricity,33,,,,0,,0,17331
2011,Nissan,Leaf,,EV,340,25,Electricity,73,,,,7,,0,30979
2012,Nissan,Leaf,,EV,340,25,Electricity,73,,,,7,,0,32154
2013,Nissan,Leaf,,EV,290,22,Electricity,75,,,3.6 kW charger,7,6.6 kW charger,4,33558
2014,Nissan,Leaf,,EV,300,25,Electricity,84,,,3.6 kW charger,8,6.6 kW charger,5,34699
2015,Nissan,Leaf,,EV,296,25,Electricity,84,,,3.6 kW charger,8,6.6 kW charger,5,34918
2017,Nissan,Leaf,,EV,299,32,Electricity,107,,,6.6 kW charger,6,,0,38428
2018,Nissan,Leaf,,EV,300,45,Electricity,151,,,,8,,0,39860
2024,Nissan,LEAF,,,,40,,,,,,,,,
2016,Nissan,Leaf (24 kW-hr battery pack),Leaf (24 kW-hr battery),EV,296,25,Electricity,84,,,3.6 kW charger,8,6.6 kW charger,5,37066
2016,Nissan,Leaf (30 kW-hr battery pack),Leaf (30 kW-hr battery),EV,299,32,Electricity,107,,,6.6 kW charger,6,,0,37067
2019,Nissan,Leaf (40 kW-hr battery pack),Leaf (40 kW-hr battery),EV,301,45,Electricity,150,,,,8,,0,40812
2020,Nissan,Leaf (40 kW-hr battery pack),,EV,304,45,Electricity,149,,,,8,,0,42561
2021,Nissan,Leaf (40 kW-hr battery pack),,EV,304,45,Electricity,149,,,,8,,0,43664
2022,Nissan,Leaf (40 kW-hr battery pack),,EV,304,45,Electricity,149,,,,8,,0,44446
2019,Nissan,Leaf (62 kW-hr battery pack),Leaf (62 kW-hr battery),EV,310,70,Electricity,226,,,,11,,0,41276
2020,Nissan,Leaf (62 kW-hr battery pack),,EV,313,71,Electricity,226,,,,11,,0,42562
2021,Nissan,Leaf (62 kW-hr battery pack),,EV,313,71,Electricity,226,,,,11,,0,43665
2022,Nissan,Leaf (62 kW-hr battery pack),,EV,313,71,Electricity,226,,,,11,,0,44447
2019,Nissan,Leaf SV/SL (62 kW-hr battery pack),Leaf SV/SL (62 kW-hr battery),EV,322,69,Electricity,215,,,,11,,0,41277
2020,Nissan,Leaf SV/SL (62 kW-hr battery pack),,EV,322,69,Electricity,215,,,,11,,0,42563
2021,Nissan,Leaf SV/SL (62 kW-hr battery pack),,EV,322,69,Electricity,215,,,,11,,0,43666
2022,Nissan,Leaf SV/SL (62 kW-hr battery pack),,EV,322,69,Electricity,215,,,,11,,0,44448
1999,Plymouth,Voyager/Grand Voyager 2WD,,EV,960,67,Electricity,70,,,,0,,0,30974
2020,Polestar,1,,Plug-in Hybrid,570,30,Premium Gasoline,0,Electricity,52,,9,,0,42744
2021,Polestar,1,,Plug-in Hybrid,570,30,Premium Gasoline,0,Electricity,52,,9,,0,43144
2021,Polestar,2,,EV,366,85,Electricity,233,,,,8,,0,43294
2022,Polestar,2 Dual Motor,,EV,378,94,Electricity,249,,,,8,,0,44449
2024,Polestar,2 Dual Motor (19 Inch Wheels),,,,77,,,,,,,,,
2024,Polestar,2 Dual Motor (20 Inch Wheels),,,,77,,,,,,,,,
2024,Polestar,2 Dual Motor Performance Pack,,,,77,,,,,,,,,
2022,Polestar,2 Single Motor,,EV,314,85,Electricity,270,,,,8,,0,44928
2024,Polestar,2 Single Motor (19 Inch Wheels),,,,81,,,,,,,,,
2015,Porsche,918 Spyder,,Plug-in Hybrid,500,6,Premium Gasoline,0,Electricity,12,,3,,0,34856
2019,Porsche,Cayenne e-Hybrid,,Plug-in Hybrid,720,9,Premium Gasoline,0,Electricity,13,,3,,0,41901
