Year,Make,Model,Display Name,Type,Wh Per Mile,Battery (kWh),Fuel Type 1,Fuel 1 Range (miles),Fuel Type 2,Fuel 2 Range (miles),Charger A Desc,"Hours to Charge (240V, Charger A)",Charger B Desc,"Hours to Charge (240V, Charger B)",Doe Id
2022,Tesla,Model 3 Performance AWD,,EV,299,94,Electricity,315,,,standard charger,10,with 48A high power charger connector option,9.6,45012
2022,Tesla,Model 3 RWD,,EV,254,69,Electricity,272,,,standard charger,10.4,with 48A high power charger connector option,5.8,45013
2024,Tesla,Model 3 RWD,,,,60.2,,,,,,,,,
2019,Tesla,Model 3 Standard Range,,EV,256,57,Electricity,220,,,standard charger,8.5,,0,41415
2020,Tesla,Model 3 Standard Range,,EV,256,57,Electricity,220,,,standard charger,8.5,,0,42277
2019,Tesla,Model 3 Standard Range Plus,,EV,253,61,Electricity,240,,,standard charger,9.5,,0,41416
2020,Tesla,Model 3 Standard Range Plus,,EV,239,60,Electricity,250,,,standard charger,8.5,,0,42278
2021,Tesla,Model 3 Standard Range Plus RWD,,EV,237,62,Electricity,263,,,standard charger,7.8,with 72A high power charger connector option,6.5,43821
2012,Tesla,Model S,,EV,380,101,Electricity,265,,,,12,,0,32557
2022,Tesla,Model S,,EV,281,114,Electricity,405,,,standard charger,15,with 72A high power charger connector option,8.3,45014
2013,Tesla,Model S (40 kW-hr battery pack),Model S 40,EV,360,50,Electricity,139,,,single charger,6,dual charger,2.5,33612
2013,Tesla,Model S (60 kW-hr battery pack),Model S 60,EV,350,73,Electricity,208,,,single charger,10,dual charger,3.75,33367
2014,Tesla,Model S (60 kW-hr battery pack),Model S 60,EV,350,73,Electricity,208,,,standard charger,10,80 amp dual charger,3.75,34776
2015,Tesla,Model S (60 kW-hr battery pack),Model S 60,EV,350,73,Electricity,208,,,standard charger,10,80 amp dual charger,3.75,36017
2016,Tesla,Model S (60 kW-hr battery pack),Model S 60,EV,340,71,Electricity,210,,,standard charger,10,80 amp dual charger,3.75,38170
2017,Tesla,Model S (60 kW-hr battery pack),Model S 60,EV,340,71,Electricity,210,,,standard charger,10,80 amp dual charger,3.75,38557
2016,Tesla,Model S (70 kW-hr battery pack),Model S 70,EV,380,89,Electricity,234,,,standard charger,10,80 amp dual charger,3.75,37233
2016,Tesla,Model S (75 kW-hr battery pack),Model S 75,EV,340,85,Electricity,249,,,standard charger,12,80 amp dual charger,4.75,37421
2017,Tesla,Model S (75 kW-hr battery pack),Model S 75,EV,340,85,Electricity,249,,,standard charger,12,80 amp dual charger,4.75,38558
2013,Tesla,Model S (85 kW-hr battery pack),Model S 85,EV,380,101,Electricity,265,,,single charger,12,dual charger,4.75,33368
2014,Tesla,Model S (85 kW-hr battery pack),Model S 85,EV,380,101,Electricity,265,,,standard charger,12,80 amp dual charger,4.75,34775
2015,Tesla,Model S (85 kW-hr battery pack),Model S 85,EV,380,101,Electricity,265,,,standard charger,12,80 amp dual charger,4.75,35980
2016,Tesla,Model S (85 kW-hr battery pack),Model S 85,EV,380,101,Electricity,265,,,standard charger,12,80 amp dual charger,4.75,37234
2016,Tesla,Model S (90 kW-hr battery pack),Model S 90,EV,380,101,Electricity,265,,,standard charger,12,80 amp dual charger,4.75,37235
2015,Tesla,Model S (90 kW-hr battery pack),Model S 90,EV,380,101,Electricity,265,,,standard charger,12,80 amp dual charger,4.75,37236
2018,Tesla,Model S 100D,,EV,331,111,Electricity,335,,,standard charger,12,80 amp dual charger,4.75,39839
2019,Tesla,Model S 100D,,EV,331,111,Electricity,335,,,standard charger,12,with 80A dual charger option,4.75,41193
2018,Tesla,Model S 75D,,EV,326,84,Electricity,259,,,standard charger,12,80 amp dual charger,4.75,39838
2019,Tesla,Model S 75D,,EV,326,84,Electricity,259,,,standard charger,12,with 80A dual charger option,4.75,41192
2018,Tesla,Model S 75kWh,Model S 75,EV,342,85,Electricity,249,,,standard charger,10,80 amp dual charger,3.75,39837
2017,Tesla,Model S AWD - 100D,Model S 100D,EV,330,111,Electricity,335,,,standard charger,12,80 amp dual charger,4.75,38640
2016,Tesla,Model S AWD - 60D,Model S 60D,EV,320,70,Electricity,218,,,standard charger,12,80 amp dual charger,3.75,38171
2017,Tesla,Model S AWD - 60D,Model S 60D,EV,320,70,Electricity,218,,,standard charger,12,80 amp dual charger,3.75,38523
2015,Tesla,Model S AWD - 70D,Model S 70D,EV,330,79,Electricity,240,,,standard charger,12,80 amp dual charger,4.75,36126
2016,Tesla,Model S AWD - 70D,Model S 70D,EV,330,79,Electricity,240,,,standard charger,12,80 amp dual charger,4.75,37238
2016,Tesla,Model S AWD - 75D,Model S 75D,EV,330,85,Electricity,259,,,standard charger,12,80 amp dual charger,4.75,37422
2017,Tesla,Model S AWD - 75D,Model S 75D,EV,330,85,Electricity,259,,,standard charger,12,80 amp dual charger,4.75,38524
2015,Tesla,Model S AWD - 85D,Model S 85D,EV,340,92,Electricity,270,,,standard charger,12,80 amp dual charger,4.75,36009
2016,Tesla,Model S AWD - 85D,Model S 85D,EV,340,92,Electricity,270,,,standard charger,12,80 amp dual charger,4.75,37239
2015,Tesla,Model S AWD - 90D,Model S 90D,EV,340,92,Electricity,270,,,standard charger,12,80 amp dual charger,4.75,36786
2016,Tesla,Model S AWD - 90D,Model S 90D,EV,330,97,Electricity,294,,,standard charger,12,80 amp dual charger,4.75,37240
2017,Tesla,Model S AWD - 90D,Model S 90D,EV,320,94,Electricity,294,,,standard charger,12,80 amp dual charger,4.75,38569
2016,Tesla,Model S AWD - P100D,Model S P100D,EV,350,110,Electricity,315,,,standard charger,12,80 amp dual charger,4.75,38172
2017,Tesla,Model S AWD - P100D,Model S P100D,EV,350,110,Electricity,315,,,standard charger,12,80 amp dual charger,4.75,38525
2015,Tesla,Model S AWD - P85D,Model S P85D,EV,360,91,Electricity,253,,,standard charger,12,80 amp dual charger,4.75,36008
2016,Tesla,Model S AWD - P85D,Model S P85D,EV,360,91,Electricity,253,,,standard charger,12,80 amp dual charger,4.75,37241
2015,Tesla,Model S AWD - P90D,Model S P90D,EV,360,91,Electricity,253,,,standard charger,12,80 amp dual charger,4.75,36787
2016,Tesla,Model S AWD - P90D,Model S P90D,EV,350,95,Electricity,270,,,standard charger,12,80 amp dual charger,4.75,37242
2017,Tesla,Model S AWD - P90D,Model S P90D,EV,350,95,Electricity,270,,,standard charger,12,80 amp dual charger,4.75,38537
2014,Tesla,Model S AWD (85 kW-hr battery pack),Model S 85D,EV,380,92,Electricity,242,,,standard charger,12,80 amp dual charger,4.75,35994
2019,Tesla,Model S Long Range,,EV,302,112,Electricity,370,,,standard charger,12,with 72A high power charger connector option,8,41417
2020,Tesla,Model S Long Range,,EV,302,113,Electricity,373,,,standard charger,12,with 72A high power charger connector option,8,42282
2021,Tesla,Model S Long Range,,EV,281,114,Electricity,405,,,standard charger,15,with 72A high power charger connector option,8.3,44051
2020,Tesla,Model S Long Range Plus,,EV,289,116,Electricity,402,,,standard charger,15.3,with 72A high power charger connector option,0,42755
2018,Tesla,Model S P100D,,EV,345,109,Electricity,315,,,standard charger,12,80 amp dual charger,4.75,39840
2019,Tesla,Model S P100D,,EV,345,109,Electricity,315,,,standard charger,12,with 80A dual charger option,4.75,41194
2019,Tesla,Model S Performance (19in Wheels),"Model S Performance (19"")",EV,324,112,Electricity,345,,,standard charger,12,with 72A high power charger connector option,8,41418
2020,Tesla,Model S Performance (19in Wheels),"Model S Performance (19"")",EV,324,113,Electricity,348,,,standard charger,12,with 72A high power charger connector option,8,42283
2021,Tesla,Model S Performance (19in Wheels),,EV,305,118,Electricity,387,,,standard charger,14.7,with 72A high power charger connector option,8.2,43516
2019,Tesla,Model S Performance (21in Wheels),"Model S Performance (21"")",EV,347,113,Electricity,325,,,standard charger,12,with 72A high power charger connector option,8,41419
2020,Tesla,Model S Performance (21in Wheels),"Model S Performance (21"")",EV,347,113,Electricity,326,,,standard charger,12,with 72A high power charger connector option,8,42284
2021,Tesla,Model S Performance (21in Wheels),,EV,352,118,Electricity,334,,,standard charger,14.7,with 72A high power charger connector option,8.2,43517
2022,Tesla,Model S Plaid (19in Wheels),,EV,291,115,Electricity,396,,,standard charger,15,with 72A high power charger connector option,8,45015
2021,Tesla,Model S Plaid (21in Wheels),,EV,334,116,Electricity,348,,,standard charger,15,with 72A high power charger connector option,8,44069
2022,Tesla,Model S Plaid (21in Wheels),,EV,334,116,Electricity,348,,,standard charger,15,with 72A high power charger connector option,8,45016
2019,Tesla,Model S Standard Range,,EV,308,88,Electricity,285,,,standard charger,9.2,with 72A high power charger connector option,6.2,41513
2020,Tesla,Model S Standard Range,,EV,308,88,Electricity,287,,,standard charger,9.2,with 72A high power charger connector option,6.2,42285
2022,Tesla,Model X,,EV,330,115,Electricity,348,,,standard charger,14,with 72A high power charger connector option,8,45020
2024,Tesla,Model X,,,,105,,,,,,,,,
2018,Tesla,Model X 100D,,EV,386,114,Electricity,295,,,standard charger,12,80 amp dual charger,4.75,39842
2019,Tesla,Model X 100D,,EV,386,114,Electricity,295,,,standard charger,12,with 80A dual charger option,4.75,41196
2018,Tesla,Model X 75D,,EV,362,86,Electricity,238,,,standard charger,12,80 amp dual charger,4.75,39841
2019,Tesla,Model X 75D,,EV,362,86,Electricity,238,,,standard charger,12,with 80A dual charger option,4.75,41195
2017,Tesla,Model X AWD - 100D,Model X 100D,EV,386,114,Electricity,295,,,standard charger,12,80 amp dual charger,4.75,39831
2016,Tesla,Model X AWD - 60D,Model X 60D,EV,360,72,Electricity,200,,,standard charger,12,80 amp dual charger,4.75,38173
2017,Tesla,Model X AWD - 60D,Model X 60D,EV,360,72,Electricity,200,,,standard charger,12,80 amp dual charger,4.75,38526
2016,Tesla,Model X AWD - 75D,Model X 75D,EV,360,86,Electricity,238,,,standard charger,12,80 amp dual charger,4.75,37423
2017,Tesla,Model X AWD - 75D,Model X 75D,EV,360,86,Electricity,238,,,standard charger,12,80 amp dual charger,4.75,38527
2016,Tesla,Model X AWD - 90D,Model X 90D,EV,370,95,Electricity,257,,,standard charger,12,80 amp dual charger,4.75,36979
2017,Tesla,Model X AWD - 90D,Model X 90D,EV,370,95,Electricity,257,,,standard charger,12,80 amp dual charger,4.75,38528
2016,Tesla,Model X AWD - P100D,Model X P100D,EV,390,113,Electricity,289,,,standard charger,12,80 amp dual charger,4.75,38500
2017,Tesla,Model X AWD - P100D,Model X P100D,EV,390,113,Electricity,289,,,standard charger,12,80 amp dual charger,4.75,38530
2016,Tesla,Model X AWD - P90D,Model X P90D,EV,380,95,Electricity,250,,,standard charger,12,80 amp dual charger,4.75,36980
2017,Tesla,Model X AWD - P90D,Model X P90D,EV,380,95,Electricity,250,,,standard charger,12,80 amp dual charger,4.75,38529
2019,Tesla,Model X Long Range,,EV,350,114,Electricity,325,,,standard charger,12,with 72A high power charger connector option,8,41514
2020,Tesla,Model X Long Range,,EV,350,115,Electricity,328,,,standard charger,12,with 72A high power charger connector option,8,42286
2021,Tesla,Model X Long Range Plus,,EV,320,119,Electricity,371,,,standard charger,15,with 72A high power charger connector option,8.3,43403
2020,Tesla,Model X Long Range Plus,,EV,321,113,Electricity,351,,,standard charger,12,with 72A high power charger connector option,8,43413
2018,Tesla,Model X P100D,,EV,395,114,Electricity,289,,,standard charger,12,80 amp dual charger,4.75,39843
2019,Tesla,Model X P100D,,EV,395,114,Electricity,289,,,standard charger,12,with 80A dual charger option,4.75,41197
2020,Tesla,Model X Performance (20in Wheels),"Model X Performance (20"")",EV,375,115,Electricity,305,,,standard charger,12,with 72A high power charger connector option,8,42287
2021,Tesla,Model X Performance (20in Wheels),,EV,345,118,Electricity,341,,,standard charger,15,with 72A high power charger connector option,8.3,43404
2019,Tesla,Model X Performance (22in Wheels),"Model X Performance (22"")",EV,428,116,Electricity,270,,,standard charger,12,with 72A high power charger connector option,8,41515
2020,Tesla,Model X Performance (22in Wheels),"Model X Performance (22"")",EV,428,116,Electricity,272,,,standard charger,12,with 72A high power charger connector option,8,42288
2021,Tesla,Model X Performance (22in Wheels),,EV,392,118,Electricity,300,,,standard charger,15,with 72A high power charger connector option,8.3,43405
2022,Tesla,Model X Plaid (20in Wheels),,EV,343,114,Electricity,333,,,standard charger,14,with 72A high power charger connector option,8,45021
2022,Tesla,Model X Plaid (22in Wheels),,EV,369,115,Electricity,311,,,standard charger,14,with 72A high power charger connector option,8,45022
2020,Tesla,Model X Standard Range,,EV,332,86,Electricity,258,,,standard charger,9.2,with 72A high power charger connector option,6.2,42289
2022,Tesla,Model Y AWD,,EV,275,77,Electricity,279,,,standard charger,9.4,with 72A high power charger connector option,0,45196
2020,Tesla,Model Y Long Range AWD,,EV,278,88,Electricity,316,,,standard charger,10,with 72A high power charger connector option,0,42916
2021,Tesla,Model Y Long Range AWD,,EV,270,88,Electricity,326,,,standard charger,10,with 72A high power charger connector option,6.2,43406
2022,Tesla,Model Y Long Range AWD,,EV,276,91,Electricity,330,,,standard charger,11.5,with 48A high power charger connector option,9.6,45018
2024,Tesla,Model Y Long Range AWD,,,,83.4,,,,,,,,,
2024,Tesla,Model Y Long Range AWD-I,,,,83.4,,,,,,,,,
2024,Tesla,Model Y Long Range RWD,,,,83.4,,,,,,,,,
2020,Tesla,Model Y Performance AWD,,EV,279,88,Electricity,315,,,standard charger,10,with 72A high power charger connector option,0,42474
2021,Tesla,Model Y Performance AWD,,EV,304,92,Electricity,303,,,standard charger,11.8,with 72A high power charger connector option,6.6,43407
2022,Tesla,Model Y Performance AWD,,EV,304,92,Electricity,303,,,standard charger,11.8,with 72A high power charger connector option,6.6,45019
2024,Tesla,Model Y Performance AWD,,,,83.4,,,,,,,,,
2020,Tesla,Model Y Performance AWD (21in Wheels),,EV,303,88,Electricity,291,,,standard charger,10,with 72A high power charger connector option,0,42816
2022,Tesla,Model Y RWD,,EV,260,64,Electricity,244,,,standard charger,8,with 72A high power charger connector option,4.4,45017
2024,Tesla,Model Y RWD,,,,66.5,,,,,,,,,
2021,Tesla,Model Y Standard Range RWD,,EV,260,64,Electricity,244,,,standard charger,8,with 72A high power charger connector option,4.4,43880
2024,Toyota,bZ4X AWD,,,,72.8,,,,,,,,,
2012,Toyota,Prius Plug-in Hybrid,,Plug-in Hybrid,290,3,Regular Gasoline,0,Electricity,11,,1.5,,0,32484
2013,Toyota,Prius Plug-in Hybrid,,Plug-in Hybrid,290,3,Regular Gasoline,0,Electricity,11,,1.5,,0,33335
2014,Toyota,Prius Plug-in Hybrid,,Plug-in Hybrid,290,3,Regular Gasoline,0,Electricity,11,,1.5,,0,34516
2015,Toyota,Prius Plug-in Hybrid,,Plug-in Hybrid,290,3,Regular Gasoline,0,Electricity,11,,1.5,,0,35598
2017,Toyota,Prius Prime,,Plug-in Hybrid,250,6,Regular Gasoline,0,Electricity,25,,2,,0,38531
2018,Toyota,Prius Prime,,Plug-in Hybrid,250,6,Regular Gasoline,0,Electricity,25,,2,,0,39882
2019,Toyota,Prius Prime,,Plug-in Hybrid,250,6,Regular Gasoline,0,Electricity,25,,2,,0,41184
2020,Toyota,Prius Prime,,Plug-in Hybrid,250,6,Regular Gasoline,0,Electricity,25,,2,,0,41489
2021,Toyota,Prius Prime,,Plug-in Hybrid,250,6,Regular Gasoline,0,Electricity,25,,2,,0,42814
2022,Toyota,Prius Prime,,Plug-in Hybrid,250,6,Regular Gasoline,0,Electricity,25,,2,,0,44362
2024,Toyota,Prius Prime,,,,13,,,,,,,,,
2024,Toyota,Prius Prime SE,,,,13,,,,,,,,,
2000,Toyota,RAV4 EV,,EV,470,41,Electricity,88,,,,0,,0,16424
2001,Toyota,RAV4 EV,,EV,470,41,Electricity,88,,,,0,,0,17328
2002,Toyota,RAV4 EV,,EV,430,41,Electricity,95,,,,0,,0,18290
2003,Toyota,RAV4 EV,,EV,430,41,Electricity,95,,,,0,,0,19296
2012,Toyota,RAV4 EV,,EV,440,45,Electricity,103,,,,6,,0,33308
2013,Toyota,RAV4 EV,,EV,440,45,Electricity,103,,,,6,,0,33397
2014,Toyota,RAV4 EV,,EV,440,45,Electricity,103,,,,6,,0,34425
2021,Toyota,RAV4 Prime 4WD,,Plug-in Hybrid,360,15,Regular Gasoline,0,Electricity,42,,4.5,,0,42793
2022,Toyota,RAV4 Prime 4WD,,Plug-in Hybrid,360,15,Regular Gasoline,0,Electricity,42,,4.5,,0,44984
2024,Toyota,RAV4 Prime 4WD,,,,18,,,,,,,,,
2015,Volkswagen,e-Golf,,EV,291,24,Electricity,83,,,,4,,0,35849
2016,Volkswagen,e-Golf,,EV,291,24,Electricity,83,,,7.2 kW charger,3.7,3.6 kW charger,7,36834
2017,Volkswagen,e-Golf,,EV,284,36,Electricity,125,,,7.2 kW charger,5.3,3.6 kW charger,0,38549
2018,Volkswagen,e-Golf,,EV,284,36,Electricity,125,,,,5.3,,0,39871
2019,Volkswagen,e-Golf,,EV,284,36,Electricity,125,,,,5.3,,0,40769
2020,Volkswagen,e-Golf,,EV,297,37,Electricity,123,,,,5.3,,0,42137
2024,Volkswagen,ID.4,,,,81,,,,,,,,,
2021,Volkswagen,ID.4 1st,,EV,350,88,Electricity,250,,,,7.5,,0,43557
2021,Volkswagen,ID.4 AWD Pro,,EV,349,87,Electricity,249,,,,7.5,,0,44725
2022,Volkswagen,ID.4 AWD Pro,,EV,333,84,Electricity,251,,,,7.5,,0,45257
2021,Volkswagen,ID.4 AWD Pro S,,EV,362,87,Electricity,240,,,,7.5,,0,44726
2022,Volkswagen,ID.4 AWD Pro S,,EV,354,87,Electricity,245,,,,7.5,,0,45258
2021,Volkswagen,ID.4 Pro,,EV,340,88,Electricity,260,,,,7.5,,0,44052
2022,Volkswagen,ID.4 Pro,,EV,320,88,Electricity,275,,,,7.5,,0,45259
2021,Volkswagen,ID.4 Pro S,,EV,350,88,Electricity,250,,,,7.5,,0,43558
2022,Volkswagen,ID.4 Pro S,,EV,330,86,Electricity,262,,,,7.5,,0,45413
2024,Volvo,C40 Recharge,,,,77,,,,,,,,,
2022,Volvo,C40 Recharge twin,,EV,385,87,Electricity,226,,,,8,,0,44929
2019,Volvo,S60 AWD PHEV,,Plug-in Hybrid,430,9,Premium Gasoline,0,Electricity,22,,3,,0,41255
2020,Volvo,S60 AWD PHEV,,Plug-in Hybrid,470,10,Premium Gasoline,0,Electricity,22,,3,,0,41944
2021,Volvo,S60 AWD PHEV,,Plug-in Hybrid,470,10,Premium Gasoline,0,Electricity,22,,3,,0,43408
2022,Volvo,S60 T8 AWD Recharge,,Plug-in Hybrid,470,10,Premium Gasoline,0,Electricity,22,,3,,0,44266
2022,Volvo,S60 T8 AWD Recharge ext. Range,,Plug-in Hybrid,440,18,Premium Gasoline,0,Electricity,40,,5,,0,45197
2018,Volvo,S90 AWD PHEV,,Plug-in Hybrid,450,9,Premium Gasoline,0,Electricity,21,,3,,0,39381
2019,Volvo,S90 AWD PHEV,,Plug-in Hybrid,450,9,Premium Gasoline,0,Electricity,21,,3,,0,40405
2020,Volvo,S90 AWD PHEV,,Plug-in Hybrid,500,11,Premium Gasoline,0,Electricity,21,,3,,0,41945
2021,Volvo,S90 AWD PHEV,,Plug-in Hybrid,500,11,Premium Gasoline,0,Electricity,21,,3,,0,42984
2022,Volvo,S90 T8 AWD Recharge,,Plug-in Hybrid,510,11,Premium Gasoline,0,Electricity,21,,3,,0,44267
2022,Volvo,S90 T8 AWD Recharge ext. Range,,Plug-in Hybrid,480,18,Premium Gasoline,0,Electricity,38,,5,,0,45198
2020,Volvo,V60 AWD PHEV,,Plug-in Hybrid,470,10,Premium Gasoline,0,Electricity,22,,3,,0,41946
2021,Volvo,V60 AWD PHEV,,Plug-in Hybrid,470,10,Premium Gasoline,0,Electricity,22,,3,,0,42985
2022,Volvo,V60 T8 AWD Recharge,,Plug-in Hybrid,470,10,Premium Gasoline,0,Electricity,22,,3,,0,44363
2022,Volvo,V60 T8 AWD Recharge ext. Range,,Plug-in Hybrid,440,18,Premium Gasoline,0,Electricity,40,,5,,0,45199
2021,Volvo,XC40 AWD BEV,,EV,428,89,Electricity,208,,,,8,,0,43295
2024,Volvo,XC40 Recharge,,,,77,,,,,,,,,
2022,Volvo,XC40 Recharge twin,,EV,394,88,Electricity,223,,,,8,,0,44450
2024,Volvo,XC40 Recharge twin,,,,77,,,,,,,,,
2018,Volvo,XC60 AWD PHEV,,Plug-in Hybrid,530,10,Premium Gasoline,0,Electricity,18,,3,,0,39382
2019,Volvo,XC60 AWD PHEV,,Plug-in Hybrid,550,9,Premium Gasoline,0,Electricity,17,,3,,0,40406
2020,Volvo,XC60 AWD PHEV,,Plug-in Hybrid,570,11,Premium Gasoline,0,Electricity,19,,3,,0,41947
2021,Volvo,XC60 AWD PHEV,,Plug-in Hybrid,570,11,Premium Gasoline,0,Electricity,19,,3,,0,43145
2022,Volvo,XC60 T8 AWD Recharge,,Plug-in Hybrid,560,11,Premium Gasoline,0,Electricity,19,,3,,0,44268
2024,Volvo,XC60 T8 AWD Recharge,,,,18,,,,,,,,,
2022,Volvo,XC60 T8 AWD Recharge ext. Range,,Plug-in Hybrid,500,18,Premium Gasoline,0,Electricity,36,,5,,0,45200
2016,Volvo,XC90 AWD PHEV,,Plug-in Hybrid,580,8,Premium Gasoline,0,Electricity,14,,3,,0,37224
2017,Volvo,XC90 AWD PHEV,,Plug-in Hybrid,600,8,Premium Gasoline,0,Electricity,14,,3,,0,37703
2018,Volvo,XC90 AWD PHEV,,Plug-in Hybrid,500,10,Premium Gasoline,0,Electricity,19,,3,,0,39383
2019,Volvo,XC90 AWD PHEV,,Plug-in Hybrid,550,9,Premium Gasoline,0,Electricity,17,,3,,0,40407
2020,Volvo,XC90 AWD PHEV,,Plug-in Hybrid,580,10,Premium Gasoline,0,Electricity,18,,3,,0,41948
2021,Volvo,XC90 AWD PHEV,,Plug-in Hybrid,580,10,Premium Gasoline,0,Electricity,18,,3,,0,42804
2022,Volvo,XC90 T8 AWD Recharge,,Plug-in Hybrid,580,10,Premium Gasoline,0,Electricity,18,,3,,0,44269
2024,Volvo,XC90 T8 AWD Recharge,,,,18,,,,,,,,,
2022,Volvo,XC90 T8 AWD Recharge ext. Range,,Plug-in Hybrid,490,18,Premium Gasoline,0,Electricity,36,,5,,0,45201
2016,Zenith,060616-542AA,Zenith,EV,400,62,Electricity,155,,,Standard Charger,6.5,,,1
